Model,Foundation,Parameters (B),MMLU,BBH,DROP,CRASS,HumanEval,Average
[Raven v11](https://huggingface.co/BlinkDL/rwkv-4-raven),RWKV,14,25.6,28.9,6.1,31.8,11.6,20.8
[Dolly V2](https://huggingface.co/databricks/dolly-v2-12b),Pythia,12,25.6,29.7,16.6,35.8,8.5,23.2
[StarCoder](https://huggingface.co/bigcode/starcoder),,16,29.7,35.9,19.7,30.7,32.9,27.5
[StarChat](https://huggingface.co/HuggingFaceH4/starchat-alpha),StarCoder,16,29.8,34.3,19.9,,36.5,
[T5 XXL LM](https://huggingface.co/google/t5-xxl-lm-adapt),T5,11,25.2,30.3,17.5,33.6,0.0,21.3
[Moon Base](https://huggingface.co/fnlp/moss-moon-003-base),,,30.2,29.3,,,,
[Moon SFT](https://huggingface.co/fnlp/moss-moon-003-sft),,,23.0,25.4,,,,
[WizardLM-13B-Uncensored](http://ehartford/WizardLM-13B-Uncensored),LLaMA,13,43.2,35.6,28.8,58.8,15.9,36.5
[Guanaco](https://huggingface.co/TheBloke/guanaco-13B-GGML),,13,47.4,37.4,33.9,65.0,12.2,39.2
[pythia](https://huggingface.co/EleutherAI/pythia-12b),Pythia,12,26.9,29.5,17.1,36.9,9.1,23.9
[GPT4 Alpaca Lora 7B](https://huggingface.co/chansung/gpt4-alpaca-lora-7b),LLaMA,7,35.6,30.7,27.5,45.6,15.9,31.1
[Alpaca Lora 7B](https://huggingface.co/tloen/alpaca-lora-7b),LLaMA,7,35.9,32.9,27.5,42.0,7.3,29.1
[Alpaca 7B](https://huggingface.co/chavinlo/alpaca-native),LLaMA,7,41.6,33.3,26.3,50.7,10.3,32.4
[Mosaic-7B-Chat](https://huggingface.co/mosaicml/mpt-7b-chat),MosaicLM,7,37.1,32.0,20.2,47.5,17.7,30.9
[LLaMA](https://huggingface.co/decapoda-research/llama-7b-hf),LLaMA,7,35.2,30.9,27.6,33.9,10.3,27.6
[StableLM Tuned](https://huggingface.co/stabilityai/stablelm-base-alpha-7b),StableLM,7,24.4,28.9,12.7,32.1,5.5,20.7
[Mosaic-7B](https://huggingface.co/mosaicml/mpt-7b),MosaicLM,7,30.8,32.1,21.8,39.4,14.0,27.6
[Mosaic-7B-Instruct](https://huggingface.co/mosaicml/mpt-7b-instruct),MosaicLM,7,32.0,32.1,23.4,38.3,15.2,28.2
[Raven-rwkv-7B](https://huggingface.co/spaces/BlinkDL/Raven-RWKV-7B),RWKV,7,23.6,27.0,12.0,28.5,8.5,19.9
[RWKV-pile-7B](https://huggingface.co/BlinkDL/rwkv-4-pile-7b),,7,24.7,28.4,12.0,27.4,6.7,19.8
[Flan-T5-XL](https://huggingface.co/google/flan-t5-xl),T5,3,49.2,40.2,56.3,91.2,0.0,47.4
[CodeGen-6B-mono](https://huggingface.co/Salesforce/codegen-6B-mono),CodeGen,6,26.1,29.2,12.8,21.2,26.2,23.1
[ChatGLM](https://huggingface.co/THUDM/chatglm-6b),GLM,6,36.1,31.3,44.2,51.1,3.1,33.2
[RedPajama](https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Instruct),RedPajama,7,38.1,31.3,24.7,60.2,5.5,32.0
[TK Instruct XL](http://huggingface.co/allenai/tk-instruct-3b-def-pos),T5,3,36.2,28.9,21.6,46.7,0.0,26.7
[T5 XL LM](https://huggingface.co/google/t5-xl-lm-adapt),T5,3,23.3,24.3,12.6,31.0,0.0,18.2
[Flan Alpaca XL](https://huggingface.co/declare-lab/flan-alpaca-xl),T5,3,46.6,27.0,44.2,88.0,0.0,41.2
[Falcon-7b](https://huggingface.co/tiiuae/falcon-7b),,,27.1,31.2,24.0,35.8,0.6,23.7
[Falcon-7b-Instruct](https://huggingface.co/tiiuae/falcon-7b-instruct),,,25.3,29.7,17.4,38.7,0.0,22.2
[TK Instruct Large](https://huggingface.co/allenai/tk-instruct-large-def-pos),T5,0.7,24.8,27.8,17.1,32.9,0.0,20.5
[Flan T5 Large](http://google/flan-t5-large),T5,0.7,42.0,37.1,39.9,86.1,0.0,41.0
[T5 Large LM](https://huggingface.co/google/t5-base-lm-adapt),T5,0.7,25.6,27.0,5.6,29.2,0.0,17.5
[Flan Alpaca Large](https://huggingface.co/declare-lab/flan-alpaca-large),T5,0.7,39.8,27.6,28.4,83.6,0.0,35.9
[TK Instruct Base](https://huggingface.co/allenai/tk-instruct-base-def-pos),T5,0.2,24.7,26.5,9.3,32.9,0.0,18.6
[Flan T5 Base](https://huggingface.co/google/flan-t5-base),T5,0.2,34.1,30.8,32.1,61.0,0.0,31.6
[T5 Base LM](https://huggingface.co/google/t5-base-lm-adapt),T5,0.2,25.4,26.4,2.1,32.9,0.0,17.3
[Flan Alpaca Base](https://huggingface.co/declare-lab/flan-alpaca-base),T5,0.2,30.4,26.6,20.5,65.3,0.0,28.6
